Player_ID_Full,Role
Rodri_ESP_MF_Manchester City_Premier League_24_2020-2021,Defensive Midfielder
Rodrigo_ESP_MFFW_Leeds United_Premier League_29_2020-2021,Striker
Romain Saïss_MAR_DF_Wolves_Premier League_30_2020-2021,Centre-back
Romaine Sawyers_SKN_MF_West Brom_Premier League_28_2020-2021,Attacking Midfielder
Ross Barkley_ENG_MF_Aston Villa_Premier League_26_2020-2021,Midfielder
Rúben Dias_POR_DF_Manchester City_Premier League_23_2020-2021,Centre-back
Ruben Loftus-Cheek_ENG_MFFW_Fulham_Premier League_24_2020-2021,Midfielder
Rúben Neves_POR_MF_Wolves_Premier League_23_2020-2021,Defensive Midfielder
Rui Patrício_POR_GK_Wolves_Premier League_32_2020-2021,Goalkeeper
Ryan Bertrand_ENG_DF_Southampton_Premier League_30_2020-2021,Full-back
Ryan Fraser_SCO_FWMF_Newcastle Utd_Premier League_26_2020-2021,Winger
Ryan Fredericks_ENG_DFFW_West Ham_Premier League_27_2020-2021,Full-back
Sadio Mané_SEN_FW_Liverpool_Premier League_28_2020-2021,Winger
Saïd Benrahma_ALG_FWMF_West Ham_Premier League_24_2020-2021,Winger
Sam Johnstone_ENG_GK_West Brom_Premier League_27_2020-2021,Goalkeeper
Sander Berge_NOR_MF_Sheffield Utd_Premier League_22_2020-2021,Defensive Midfielder
Scott Dann_ENG_DF_Crystal Palace_Premier League_33_2020-2021,Centre-back
Scott McTominay_SCO_MF_Manchester Utd_Premier League_23_2020-2021,Midfielder
Séamus Coleman_IRL_DFMF_Everton_Premier League_31_2020-2021,Full-back
Sean Longstaff_ENG_MF_Newcastle Utd_Premier League_22_2020-2021,Midfielder
Sébastien Haller_CIV_FW_West Ham_Premier League_26_2020-2021,Striker
Semi Ajayi_NGA_DF_West Brom_Premier League_26_2020-2021,Centre-back
Serge Aurier_CIV_DF_Tottenham_Premier League_27_2020-2021,Full-back
Sergio Agüero_ARG_FWMF_Manchester City_Premier League_32_2020-2021,Striker
Sergio Reguilón_ESP_DF_Tottenham_Premier League_23_2020-2021,Full-back
Solly March_ENG_DF_Brighton_Premier League_26_2020-2021,Defensive Winger
Son Heung-min_KOR_FW_Tottenham_Premier League_28_2020-2021,Winger
Steven Alzate_COL_MFDF_Brighton_Premier League_21_2020-2021,Midfielder
Steven Bergwijn_NED_FWMF_Tottenham_Premier League_22_2020-2021,Winger
Stuart Armstrong_SCO_MF_Southampton_Premier League_28_2020-2021,Midfielder
Stuart Dallas_NIR_DFMF_Leeds United_Premier League_29_2020-2021,Full-back
Takumi Minamino_JPN_MFFW_Southampton_Premier League_25_2020-2021,Winger
Tammy Abraham_ENG_FW_Chelsea_Premier League_22_2020-2021,Striker
Tanguy Ndombele_FRA_MF_Tottenham_Premier League_23_2020-2021,Midfielder
Tariq Lamptey_ENG_DF_Brighton_Premier League_19_2020-2021,Full-back
Theo Walcott_ENG_MFFW_Southampton_Premier League_31_2020-2021,Winger
Thiago Alcántara_ESP_MF_Liverpool_Premier League_29_2020-2021,Midfielder
Thiago Silva_BRA_DF_Chelsea_Premier League_35_2020-2021,Centre-back
Thomas Partey_GHA_MF_Arsenal_Premier League_27_2020-2021,Defensive Midfielder
Tim Ream_USA_DF_Fulham_Premier League_32_2020-2021,Centre-back
Timo Werner_GER_FW_Chelsea_Premier League_24_2020-2021,Striker
Timothy Castagne_BEL_DF_Leicester City_Premier League_24_2020-2021,Full-back
Toby Alderweireld_BEL_DF_Tottenham_Premier League_31_2020-2021,Centre-back
Tom Cairney_SCO_MF_Fulham_Premier League_29_2020-2021,Attacking Midfielder
Tom Davies_ENG_MF_Everton_Premier League_22_2020-2021,Midfielder
Tomáš Souček_CZE_MF_West Ham_Premier League_25_2020-2021,Defensive Midfielder
Tosin Adarabioyo_ENG_DF_Fulham_Premier League_22_2020-2021,Centre-back
Trent Alexander-Arnold_ENG_DF_Liverpool_Premier League_21_2020-2021,Full-back
Trézéguet_EGY_FW_Aston Villa_Premier League_25_2020-2021,Winger
Tyler Roberts_WAL_MFFW_Leeds United_Premier League_21_2020-2021,Striker
Tyrick Mitchell_ENG_DF_Crystal Palace_Premier League_20_2020-2021,Full-back
Tyrone Mings_ENG_DF_Aston Villa_Premier League_27_2020-2021,Centre-back
Vicente Guaita_ESP_GK_Crystal Palace_Premier League_33_2020-2021,Goalkeeper
Victor Lindelöf_SWE_DF_Manchester Utd_Premier League_26_2020-2021,Centre-back
Vitinha_POR_MF_Wolves_Premier League_20_2020-2021,Midfielder
Vladimír Coufal_CZE_DF_West Ham_Premier League_27_2020-2021,Full-back
Wesley Fofana_FRA_DF_Leicester City_Premier League_19_2020-2021,Centre-back
Wilfred Ndidi_NGA_MFDF_Leicester City_Premier League_23_2020-2021,Defensive Midfielder
Wilfried Zaha_CIV_FW_Crystal Palace_Premier League_27_2020-2021,Winger
Willian José_BRA_FW_Wolves_Premier League_28_2020-2021,Striker
Willian_BRA_FWMF_Arsenal_Premier League_31_2020-2021,Winger
Willy Boly_CIV_DF_Wolves_Premier League_29_2020-2021,Centre-back
Xherdan Shaqiri_SUI_MFFW_Liverpool_Premier League_28_2020-2021,Winger
Yerry Mina_COL_DF_Everton_Premier League_25_2020-2021,Centre-back
Youri Tielemans_BEL_MF_Leicester City_Premier League_23_2020-2021,Midfielder
Yves Bissouma_MLI_MF_Brighton_Premier League_23_2020-2021,Midfielder
